Learning Rate,Epoch,Accuracy
0.001,1,43.53
0.001,2,45.79
0.001,3,48.21
0.001,4,49.71
0.001,5,51.13
0.001,6,51.6
0.001,7,53.08
0.001,8,53.4
0.001,9,53.45
0.001,10,53.84
0.001,11,54.36
0.001,12,53.81
0.001,13,54.91
0.001,14,55.48
0.001,15,55.41
0.001,16,55.43
0.001,17,55.55
0.001,18,55.81
0.001,19,56.13
0.001,20,56.19
0.001,21,56.58
0.001,22,56.82
0.001,23,57.16
0.001,24,57.12
0.001,25,57.63
0.001,26,57.43
0.001,27,57.76
0.001,28,57.52
0.001,29,58.18
0.001,30,57.99
0.01,1,49.78
0.01,2,55.53
0.01,3,56.07
0.01,4,61.23
0.01,5,63.83
0.01,6,64.09
0.01,7,64.48
0.01,8,66.17
0.01,9,66.08
0.01,10,65.93
0.01,11,65.69
0.01,12,68.18
0.01,13,67.14
0.01,14,67.4
0.01,15,67.66
0.01,16,67.91
0.01,17,68.0
0.01,18,67.21
0.01,19,65.72
0.01,20,67.26
0.01,21,67.27
0.01,22,66.5
0.01,23,66.78
0.01,24,66.99
0.01,25,66.25
0.01,26,67.1
0.01,27,67.02
0.01,28,66.9
0.01,29,66.55
0.01,30,67.0
0.05,1,31.48
0.05,2,37.12
0.05,3,39.57
0.05,4,44.61
0.05,5,38.56
0.05,6,47.12
0.05,7,51.28
0.05,8,54.25
0.05,9,56.02
0.05,10,58.4
0.05,11,58.27
0.05,12,53.98
0.05,13,59.18
0.05,14,58.77
0.05,15,58.33
0.05,16,56.43
0.05,17,58.59
0.05,18,58.36
0.05,19,57.02
0.05,20,57.83
0.05,21,55.61
0.05,22,56.84
0.05,23,56.82
0.05,24,57.08
0.05,25,56.56
0.05,26,56.27
0.05,27,55.76
0.05,28,56.41
0.05,29,56.52
0.05,30,56.12
0.1,1,14.11
0.1,2,27.3
0.1,3,28.77
0.1,4,30.54
0.1,5,35.93
0.1,6,32.13
0.1,7,40.1
0.1,8,40.63
0.1,9,39.47
0.1,10,42.22
0.1,11,43.06
0.1,12,44.9
0.1,13,46.51
0.1,14,37.26
0.1,15,46.73
0.1,16,47.47
0.1,17,47.62
0.1,18,45.91
0.1,19,49.95
0.1,20,49.02
0.1,21,49.17
0.1,22,50.49
0.1,23,49.52
0.1,24,49.32
0.1,25,50.15
0.1,26,49.14
0.1,27,48.1
0.1,28,48.44
0.1,29,50.8
0.1,30,51.33
