,time_cnn,time_mlp,accuracy_cnn,accuracy_mlp
0,7.45957350730896,6.89652156829834,27.12,10.0
1,15.76353645324707,14.35078763961792,33.98,16.93
2,24.04778814315796,21.811150074005127,34.62,20.32
3,32.343382358551025,29.274819374084473,43.7,18.31
4,40.659650802612305,36.74575972557068,47.22,17.62
5,48.96214437484741,44.20500731468201,49.77,17.15
6,57.260581731796265,51.69632601737976,51.66,17.54
7,65.55963921546936,59.179858922958374,50.29,18.39
8,73.86546039581299,66.6619484424591,53.76,21.37
9,82.17556428909302,74.16782283782959,54.24,21.21
10,90.49507856369019,81.65924334526062,48.6,21.59
11,98.82086682319641,89.1428394317627,53.61,22.32
12,107.12548780441284,96.62606978416443,55.19,22.53
13,115.43259930610657,104.09986329078674,54.16,23.6
14,123.71615314483643,111.58466720581055,57.62,24.64
15,131.99763202667236,119.10849618911743,53.05,25.35
16,140.29796171188354,126.63203883171082,55.46,25.31
17,148.61099195480347,134.11731386184692,60.22,25.93
18,156.90268445014954,141.6038372516632,59.04,25.58
19,165.21452522277832,149.09237718582153,55.07,25.79
20,173.50460958480835,156.5817346572876,55.25,26.29
21,181.7937400341034,164.10150718688965,59.26,26.34
22,190.09620451927185,171.63855838775635,59.17,26.51
23,198.38479232788086,179.1523313522339,57.64,26.7
24,206.67197060585022,186.64542961120605,57.32,26.87
25,214.97640299797058,194.14743304252625,55.28,26.96
26,223.26341581344604,201.6345112323761,57.78,26.81
27,231.56269073486328,209.13373637199402,58.88,27.18
28,239.85027837753296,216.64164113998413,59.79,27.83
29,248.1635103225708,224.1486542224884,58.2,26.95
