,time,accuracy
0,9.725451231002808,88.68
1,20.364082098007202,91.78
2,31.023905277252197,92.94
3,41.68787097930908,93.83
4,52.350858211517334,94.73
5,63.00846266746521,95.14
6,73.66886830329895,95.76
7,84.31638288497925,96.03
8,94.95211982727051,96.27
9,105.59638047218323,96.77
10,116.2367570400238,96.83
11,126.79197335243225,97.14
12,137.3420331478119,97.29
13,147.85766768455505,97.25
14,158.39581108093262,97.45
15,168.94359970092773,97.48
16,179.4841754436493,97.72
17,189.95059251785278,97.61
18,200.4977674484253,97.72
19,211.04063320159912,97.8
20,221.57195448875427,97.9
21,232.10166215896606,97.97
22,242.6141004562378,97.93
23,253.1227204799652,97.98
24,263.62835025787354,97.92
25,274.13996934890747,98.09
26,284.6459994316101,98.11
27,295.1534948348999,98.08
28,305.66548228263855,98.11
29,316.17513394355774,98.17
